Repository URL,Stars,Forks,Contributors,Test Files,Description
https://github.com/postcss/autoprefixer,21968,1261,202,19, Parse CSS and add vendor prefixes to rules by Can I Use
https://github.com/necolas/react-native-web,21909,1820,204,66,Cross-platform React UI packages
https://github.com/pugjs/pug,21803,1947,251,46,"Pug ‚Äì robust, elegant, feature rich template engine for Node.js"
https://github.com/typicode/lowdb,22098,952,43,5,Simple and fast JSON database
https://github.com/simple-icons/simple-icons,22687,2812,805,11,SVG icons for popular brands
https://github.com/svg/svgo,21649,1416,228,31,‚öôÔ∏è Node.js tool for optimizing SVG files
https://github.com/hapijs/joi,21108,1520,262,28,The most powerful data validation library for JS
https://github.com/parse-community/parse-server,21142,4798,345,133,Parse Server for Node.js / Express
https://github.com/paularmstrong/normalizr,20924,871,66,12,Normalizes nested JSON according to a schema
https://github.com/avajs/ava,20782,1407,313,100,Node.js test runner that lets you develop with confidence 
https://github.com/react-grid-layout/react-grid-layout,21252,2647,131,6,"A draggable and resizable grid layout with responsive breakpoints, for React."
https://github.com/MagicMirrorOrg/MagicMirror,21323,4339,360,13,"MagicMirror¬≤ is an open source modular smart mirror platform. With a growing list of installable modules, the MagicMirror¬≤ allows you to convert your hallway or bathroom mirror into your personal assistant."
https://github.com/camsong/You-Dont-Need-jQuery,20288,1745,104,4,"Examples of how to do query, style, dom, ajax, event etc like jQuery with plain javascript."
https://github.com/node-red/node-red,21285,3585,256,36,Low-code programming for event-driven applications
https://github.com/verekia/js-stack-from-scratch,20157,1987,40,1,üõ†Ô∏è‚ö° Step-by-step tutorial to build a modern JavaScript stack.
https://github.com/PanJiaChen/vue-admin-template,20294,7453,12,7,a vue2.0 minimal admin template 
https://github.com/facebookexperimental/Recoil,19607,1226,125,80,"Recoil is an experimental state management library for React apps. It provides several capabilities that are difficult to achieve with React alone, while being compatible with the newest features of React."
https://github.com/segment-boneyard/nightmare,19648,1075,131,1,A high-level browser automation library.
https://github.com/nuysoft/Mock,19605,2661,6,9,A simulation data generator
https://github.com/motdotla/dotenv,19751,878,100,10,Loads environment variables from .env for nodejs projects.
https://github.com/basecamp/trix,19513,1134,77,42,A rich text editor for everyday writing
https://github.com/liriliri/eruda,20006,1292,26,0,Console for mobile browsers
https://github.com/BrowserSync/browser-sync,12255,754,111,11,Keep multiple browsers & devices in sync when building websites. https://browsersync.io
https://github.com/karma-runner/karma,11976,1714,390,64,Spectacular Test Runner for JavaScript
https://github.com/DustinBrett/daedalOS,11835,1007,1,1,Desktop environment in the browser
https://github.com/bpmn-io/bpmn-js,9158,1396,69,7,A BPMN 2.0 rendering toolkit and web modeler.
https://github.com/appbaseio/dejavu,8428,515,19,1,"A Web UI for Elasticsearch and OpenSearch: Import, browse and edit data with rich filters and query views, create reference search UIs."
https://github.com/mediaelement/mediaelement,8271,1567,315,4,"HTML5 <audio> or <video> player with support for MP4, WebM, and MP3 as well as HLS, Dash, YouTube, Facebook, SoundCloud and others with a common HTML5 MediaElement API, enabling a consistent UI in all browsers."
https://github.com/isomorphic-git/isomorphic-git,7817,425,106,125,A pure JavaScript implementation of git for node and browsers!
https://github.com/aws/aws-sdk-js,7627,1539,216,122,"AWS SDK for JavaScript in the browser and Node.js (In Maintenance Mode, End-of-Life on 09/08/2025). The AWS SDK for JavaScript v3 in the browser and Node.js is available here: https://github.com/aws/aws-sdk-js-v3"
https://github.com/SVG-Edit/svgedit,7200,1653,116,7,Powerful SVG-Editor for your browser
https://github.com/fabiospampinato/cash,7038,274,36,0,An absurdly small jQuery alternative for modern browsers.
https://github.com/cazala/synaptic,6921,662,39,0,architecture-free neural network library for node.js and the browser
https://github.com/violentmonkey/violentmonkey,7145,585,73,9,Violentmonkey provides userscripts support for browsers. It works on browsers with WebExtensions support.
https://github.com/futurepress/epub.js,6715,1163,116,1,Enhanced eBooks in the browser.
https://github.com/lindell/JsBarcode,5732,1117,36,21,Barcode generation library written in JavaScript that works in both the browser and on Node.js
https://github.com/Dash-Industry-Forum/dash.js,5382,1728,235,11,A reference client implementation for the playback of MPEG DASH via Javascript and compliant browsers.
max,191431,79143,2394,2857,
min,5382,274,1,1,
mean,35411.26724,5482.189655,314.7844828,63.72413793,
total,4107707,635934,36515,7392,
count,116,,,,
